Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Tai Abed,"Aug 3, 2004 (20)",Right Winger,PSV Eindhoven,Eredivisie,€750k,Israel / Spain,https://www.transfermarkt.com/tai-abed/profil/spieler/921345
Ricardo Pepi,"Jan 9, 2003 (22)",Centre-Forward,PSV Eindhoven,Eredivisie,€16.00m,United States / Mexico,https://www.transfermarkt.com/ricardo-pepi/profil/spieler/627207
Luuk de Jong,"Aug 27, 1990 (34)",Centre-Forward,PSV Eindhoven,Eredivisie,€2.50m,Netherlands,https://www.transfermarkt.com/luuk-de-jong/profil/spieler/72522
Jesper Uneken,"Aug 9, 2004 (20)",Centre-Forward,PSV Eindhoven,Eredivisie,€600k,Netherlands,https://www.transfermarkt.com/jesper-uneken/profil/spieler/746988
Lucas Pérez,"Sep 10, 1988 (36)",Centre-Forward,PSV Eindhoven,Eredivisie,€400k,Spain,https://www.transfermarkt.com/lucas-perez/profil/spieler/73185
Andries Noppert,"Apr 7, 1994 (31)",Goalkeeper,SC Heerenveen,Eredivisie,€1.00m,Netherlands,https://www.transfermarkt.com/andries-noppert/profil/spieler/276853
Mickey van der Hart,"Jun 13, 1994 (31)",Goalkeeper,SC Heerenveen,Eredivisie,€500k,Netherlands,https://www.transfermarkt.com/mickey-van-der-hart/profil/spieler/207048
Bernt Klaverboer,"Sep 26, 2005 (19)",Goalkeeper,SC Heerenveen,Eredivisie,€75k,Netherlands,https://www.transfermarkt.com/bernt-klaverboer/profil/spieler/725816
Jan Bekkema,"Apr 9, 1996 (29)",Goalkeeper,SC Heerenveen,Eredivisie,€50k,Netherlands,https://www.transfermarkt.com/jan-bekkema/profil/spieler/312473
Tjalling van Keimpema,"Jan 1, 2007 (18)",Goalkeeper,SC Heerenveen,Eredivisie,-,Netherlands,https://www.transfermarkt.com/tjalling-van-keimpema/profil/spieler/942064
Nikolai Hopland,"Jul 24, 2004 (20)",Centre-Back,SC Heerenveen,Eredivisie,€3.00m,Norway,https://www.transfermarkt.com/nikolai-hopland/profil/spieler/894050
Pawel Bochniewicz,"Jan 30, 1996 (29)",Centre-Back,SC Heerenveen,Eredivisie,€2.50m,Poland,https://www.transfermarkt.com/pawel-bochniewicz/profil/spieler/248395
